统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__ZTYYYUC,ZTYYYUC,大方向平稳小目标01期,天天基金/投顾,国联证券-国联投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.5154,1.2395,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__BLTOWCU,BLTOWCU,华安懒人投,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__8SYLZES,8SYLZES,华安乐享攒,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__FD7GQY0,FD7GQY0,华安小盈加01期,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.2313,2.4951,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__DE8F0ZA,DE8F0ZA,华泰柏瑞小幸运第3期投顾服务,天天基金/投顾,华泰柏瑞睿智投,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,原始状态2,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__FWOAMML,FWOAMML,建信小幸运目标盈第3期投顾服务,天天基金/投顾,建信基金-建信投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.094,0.866,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__LGB93LO,LGB93LO,交银全明星双周投,天天基金/投顾,交银施罗德基金-交银投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__EICXLBD,EICXLBD,零钱快乐攒,天天基金/投顾,华安基金-华安投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__U6FTIIZ,U6FTIIZ,民生加银智投小赢家01期,天天基金/投顾,民生加银基金投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.998,3.6877,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__AXTL7IZ,AXTL7IZ,民生加银智投小赢家02期,天天基金/投顾,民生加银基金投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.7704,3.774,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__UYMHJYY,UYMHJYY,民生加银智投小赢家03期,天天基金/投顾,民生加银基金投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.6912,2.7572,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__TIESYMH,TIESYMH,南方小目标第10期投顾服务,天天基金/投顾,南方基金-司南投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1485,3.3638,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__OUVWUGA,OUVWUGA,南方小目标第11期投顾服务,天天基金/投顾,南方基金-司南投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1899,3.3693,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__171E5C9,171E5C9,南方小目标第12期投顾服务,天天基金/投顾,南方基金-司南投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1919,3.3536,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__L02SPBZ,L02SPBZ,鹏华周周盈,天天基金/投顾,鹏华基金-鹏华智投,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,,,多资产配置型,多资产配置型,D0 持仓缺失｜多资产配置型,国内｜未稳定识别｜未稳定识别,国内,不完整,C,未披露,,,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,缺少官方业绩字段
ttfund__KOY1T0A,KOY1T0A,启明星理财升级目标盈 01 期,天天基金/投顾,富国基金-富国星投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.8557,3.3639,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__94D01XL,94D01XL,启明星理财升级目标盈 02 期,天天基金/投顾,富国基金-富国星投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.8159,3.4377,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__DDTUO7E,DDTUO7E,启明星理财升级目标盈03期,天天基金/投顾,富国基金-富国星投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.6693,2.0996,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__C8F75G1,C8F75G1,添富目标盈1期投顾服务,天天基金/投顾,汇添富基金-汇添富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.4845,0.3724,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__D10MRLU,D10MRLU,小常乐目标盈天天01期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,4.5515,3.2801,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__W9GHJJ4,W9GHJJ4,小常乐目标盈天天02期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.4681,2.1927,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__UCGN7MV,UCGN7MV,小常乐目标盈天天03期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.6023,0.8581,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__ORJF2OI,ORJF2OI,小常乐目标盈天天06期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.8016,4.4349,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__ZCKZHTU,ZCKZHTU,小常乐目标盈天天07期(年中版),天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.9081,4.4585,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__CAXY2S9,CAXY2S9,小常乐目标盈天天08期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,3.1147,5.0397,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__L4OKYJI,L4OKYJI,小常乐目标盈天天09期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.0164,0.68,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__YADYLIZ,YADYLIZ,小常乐目标盈天天10期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.9625,4.4859,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__SPLAWGT,SPLAWGT,小常乐目标盈天天11期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,3.2786,4.9656,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__XIM8B4M,XIM8B4M,小常乐目标盈天天12期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,3.0438,4.4327,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__0ZQMUNY,0ZQMUNY,小常乐目标盈天天13期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,3.0513,4.4311,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__31QBANO,31QBANO,小常乐目标盈天天14期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.943,3.8596,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__20PNOR9,20PNOR9,小常乐目标盈天天15期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.3397,2.3898,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__UEEQCXB,UEEQCXB,小常乐目标盈天天16期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1436,2.2853,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__5PAZIUD,5PAZIUD,小常乐目标盈天天17期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.3162,2.6004,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__BE9WIHH,BE9WIHH,小常乐目标盈天天18期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.0939,2.2851,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__GGZBYOS,GGZBYOS,小常乐目标盈天天20期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.7602,1.2547,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__WIGD758,WIGD758,小常乐目标盈天天21期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.9612,0.6086,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__8AXARTC,8AXARTC,小常乐目标盈天天22期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.874,0.6368,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__2TYT3BL,2TYT3BL,小常乐目标盈天天23期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.8553,0.6291,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__KTSVVHR,KTSVVHR,小常乐目标盈天天24期,天天基金/投顾,华夏投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.7968,0.6141,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__NABKOWO,NABKOWO,兴证全球优享步步高01期,天天基金/投顾,兴证全球投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1439,2.377,海外/全球型,海外/全球型,D0 持仓缺失｜海外/全球型,海外/全球｜未稳定识别｜海外全球｜未稳定识别,海外/全球,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__MWPGKTS,MWPGKTS,兴证全球优享步步高02期,天天基金/投顾,兴证全球投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.9733,2.3002,海外/全球型,海外/全球型,D0 持仓缺失｜海外/全球型,海外/全球｜未稳定识别｜海外全球｜未稳定识别,海外/全球,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__SCWXUPR,SCWXUPR,兴证全球优享步步高第3期,天天基金/投顾,兴证全球投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.4393,2.2802,海外/全球型,海外/全球型,D0 持仓缺失｜海外/全球型,海外/全球｜未稳定识别｜海外全球｜未稳定识别,海外/全球,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__AYHI0VG,AYHI0VG,兴证全球优享步步高第4期,天天基金/投顾,兴证全球投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.1893,2.6988,海外/全球型,海外/全球型,D0 持仓缺失｜海外/全球型,海外/全球｜未稳定识别｜海外全球｜未稳定识别,海外/全球,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__IH8ICTB,IH8ICTB,幸福八八小目标天天01期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,5.9411,15.2243,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__Z0G33BJ,Z0G33BJ,幸福六六小目标天天01期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,3.0026,1.0433,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__5QN33NP,5QN33NP,幸福六六小目标天天02期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,1.494,0.4312,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__156SI0F,156SI0F,幸福六六小目标天天03期,天天基金/投顾,中欧财富投顾,未披露,D0 持仓缺失,D0 持仓缺失,,,,持仓权重缺失,持仓权重,0,0,0,0,0,0,2.0954,0.8762,目标盈系列产品,目标盈系列产品,D0 持仓缺失｜目标盈系列产品,国内｜未稳定识别｜目标盈/止盈｜未稳定识别,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
