统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__EQ5Q5HW,EQ5Q5HW,带你投稳中求进,天天基金/投顾,广发基金-广发投顾,中风险,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,权益+波动+回撤,,32.78,40.96,8.89,17.37,0,0,5.8862,11.2892,多资产配置型,多资产配置型,R3 均衡稳健｜多资产配置型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,是,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__VNUQP0R,VNUQP0R,东财幸福目标盈第1期,天天基金/投顾,东方财富证券-东方财富证券投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R1 低波,权益,,26.0559,70.2641,3.68,0,40.8282,0,2.7838,2.2623,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动被动混合｜目标盈/止盈｜主动+指数混合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__0OYZBNC,0OYZBNC,东财幸福目标盈第2期,天天基金/投顾,东方财富证券-东方财富证券投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R1 低波,权益,,21.3057,72.7975,1.8753,4.0216,29.4732,0,2.4672,2.2127,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__BTAQW7H,BTAQW7H,多资产稳健指数组合,天天基金/投顾,广发基金-广发投顾,中风险,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R2 稳健收益,权益,,23.9595,60.9478,15.0926,0,84.9074,7.4105,3.6059,3.8546,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜指数/被动为主｜指数/被动工具组合,国内,完整,A,未披露,2026-06-03,2026-06-03,是,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__WFXTRZR,WFXTRZR,富国七星高照多资产配置,天天基金/投顾,富国基金-富国星投顾,中风险,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,权益+波动,,28.2486,60.7568,6.1403,4.8544,21.506,27.0609,4.0971,5.4128,海外/全球型,海外/全球型,R3 均衡稳健｜海外/全球型,海外/全球｜主动为主｜海外全球、主题行业、商品黄金｜主动基金组合、QDII/海外工具,海外/全球,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__BKIYYNI,BKIYYNI,富国七星高照目标盈,天天基金/投顾,富国基金-富国星投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,权益+波动,,28.0296,60.978,6.1704,4.8219,21.465,26.9639,4.1256,5.4249,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内+海外｜主动为主｜目标盈/止盈｜主动基金组合、QDII/海外工具,国内+海外,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__WR8T4KO,WR8T4KO,富国七星高照尊享版,天天基金/投顾,富国基金-富国星投顾,中风险,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,权益+波动,,28.2286,60.7802,6.1391,4.8522,21.5085,27.0771,4.3783,5.4521,海外/全球型,海外/全球型,R3 均衡稳健｜海外/全球型,海外/全球｜主动为主｜海外全球、主题行业、商品黄金｜主动基金组合、QDII/海外工具,海外/全球,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__AELFPAC,AELFPAC,工银瑞信目标赢01期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.3616,6.9596,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__RWG07ND,RWG07ND,工银瑞信目标赢02期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.3635,6.5052,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__F6F7UZR,F6F7UZR,工银瑞信目标赢03期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.2915,6.2161,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__IDRBZTP,IDRBZTP,工银瑞信目标赢04期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.2929,6.2097,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__EXGGLNV,EXGGLNV,工银瑞信目标赢05期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.2662,6.3175,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__PSSOL1E,PSSOL1E,工银瑞信目标赢06期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.2901,6.7888,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__GD0XPLR,GD0XPLR,工银瑞信目标赢07期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.349,6.0313,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__OKYWR3F,OKYWR3F,工银瑞信目标赢08期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.3443,6.0537,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__FPMRE6G,FPMRE6G,工银瑞信目标赢09期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.4065,6.0495,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
